Product Id,Product Name,Category,Brand,Model,Base Price(Rs.), Offer Price(Rs.),Product Status
5116877-10699891024,Unbranded Chair,Chairs - Handcrafted,NA,S TYPE OFFICE CHAIR,8000,,Published
6894588-68768746728,REVOLVING COMPUTER CHAIRS,Chairs - Handcrafted,NA,REX L-90,5000,,Draft Products
5116877-75540633198,1200 MM BLDG Motor Ceiling fan,Table Fan / Wall Mount Fan / Ceiling Mount Fan as per IS 555,NA,FAN,2599,,Published
5116877-28329697146,Unbranded Wall Clock for Preschool made up of Virgin Polyethylene,Wall Clock (Preschool Kit),NA,Wall Clock for Preschool made up of Virgin Polypropylene,650,,Published
5116877-81363847092,J&A RACK 02,Stainless Steel Shelf Rack,NA,J&A Steel Rack,4800,,Published
5116877-68391517669,"Unbranded Acrylic Electronic Baby Weighing Scale , Tray Size 550x300x100 mm (WxHxD)",Electronic Baby Weighing Scale - RBSK,NA,WEIGHING SCALE,6000,,Published
5116877-59805784424,Unbranded 400 millimeter Bracket mounted fan for Ceiling mounting,Table Fan / Wall Mount Fan / Ceiling Mount Fan as per IS 555,NA,NA,2609,,Published
5116877-88897386205,ABS ELECTRONIC BABY WEIGHING SCALE,Electronic Baby Weighing Scale - RBSK,VINCE VIRGO,ELECTRONIC BABY WEIGHING SCALE,5000,,Published
5116877-59149940624,Unbranded Rectangle Shaped Brown 16-17 Inch of height,PVC molded stool,NA,PVC MOLDED STOOL,1000,,Published
5116877-65346171557,SUNDEEP PLASTIC CHAIR,Chair (Preschool Kit),NA,TOY PLASTIC CHAIR,2250,,Published
5116877-32865957670,Unbranded Standard Keyboard - Wired - Plug and Play 1 Years,Keyboard for Personal Computers (V2) as per IS 14441,NA,USB 2.0,4010,,Published
5116877-63756179169,SPB COPIER 70 GSM A4,Plain Copier Paper (V3) ISI Marked to IS 14490,SPB COPIER,SPB COPIER 70 GSM 21 X 29.7 CM,374,,Published
5116877-54694508963,Safeage Deposit safe (Non Tool Resistant) An Individually secured container for Paper / Cash / Documents,Deposit Safe (Non Tool Resistant),Safeage,SAFEAGE POST OFFICE SHILLONG MODEL,119890,,Published
5116877-13546072459,MAXXIN03,Electronic Weighing Scales,Unbranded--MAXXIN TECH,MAXXIN03,105000,,Published
5116877-99939750203,EPSON PASSBOOK 128 Kbyte Bankbook or Passbook Update Machines-printer,Bankbook or Passbook Update Machines - Printer,EPSON PASSBOOK,PLQ-30,35990,,Published
5116877-35527170807,TVS Speed 40 Star with 5 years warranty,Bankbook or Passbook Update Machines - Printer,TVS,TVS Speed 40 Star with 5 years warranty,40995,,Published
5116877-16618298648,UNBRANDED Ethylene Vinyl Acetate ( EVA) Yoga Mats 180 centimeter 60centimeter,Yoga Mats,NA,UNBRANDED  yoga mat 4mm   ( EVA ),399,,Published
5116877-76559938187,PROCESSOR,Processor for Desktop,Intel,INTEL CORE I5 700T,18000,,Published
5116877-67232396389,"Unbranded Evaporative Air Coolers (Desert Coolers), Floor Mounted Air Capacity - 2500 m3/hr",Evaporative Air Coolers (Desert Coolers) Conforming To IS 3315,NA,MI/EAC/25,28500,,Published
5116877-81233619633,Unbranded Class A: 120 Litres Mobile Container for Solid Waste Without Plugged Outlet,Mobile Containers For Solid Waste Conforming to IS 12402,NA,WBINJ-120,6500,,Published
5116877-4830048343,PowerX PMB H55 LGA 1156 Socket Support Motherboard,Motherboard for Desktop,power x,PowerX PMB H55 LGA 1156 Socket Support Motherboard,5596,,Published
5116877-96200679685,Uniball 0.5 mm Blue Capped Plastic Gel Pen,Gel Pen (V3),Uniball,UB-157,80,,Published
5116877-33798672249,Solar Street Lighting System - 12w,White - LED Based Solar Street Lighting System,NA,SSL-12W (75wp),16000,,Published
5116877-8468600601,PC SMPS 450W,Switch Mode Power Supply (SMPS) as per IS 14886:,NA,PC 450W,1200,,Published
5116877-49365610011,ZEBRONICS Intel H470 MOTHERBOARD FOR DESKTOP,Motherboard for Desktop,ZEBRONICS,ZEB--H81,5899,,Published
5116877-89662006421,ZEBRONICS Intel H270 MOTHERBOARD FOR DESKTOP,Motherboard for Desktop,ZEBRONICS,Zebronics H61 Motherboard,6115,,Published
5116877-90240037085,AARVEX H-81M MOTHERBOARD FOR DESKTOP,Motherboard for Desktop,aarvex,AARVEX H-81M,3950,,Published
5116877-35897525840,GIGABYTE Intel H310 MOTHERBOARD FOR DESKTOP,Motherboard for Desktop,GIGABYTE,Gigabyte H110M-S2 Supported Socket 1156 For 6th & 7th Gen CPU,18400,,Published
5116877-84413109444,Intel Core i3-12100F 3.3 GHz Quad-Core LGA 1700 Processor(i3-1200F),Processor for Desktop,Intel,Intel Core i3-12100F 3.3 GHz Quad-Core LGA 1700,33500,,Published
5116877-62648847122,EVM Random Access Memory (RAM) Card 8 GB,Random Access Memory (RAM) Card (V2),EVM,8GB DDR4 2133,9999,,Published
5116877-75758602973,"Intel Intel 12 Processor, Number of Cores per Processor 6",Processor for Desktop,Intel,Intel i5 12400,28500,,Published
5116877-84534389892,Wall Clock,Wall Clock (Preschool Kit),SHUBHAM,W-9744,1000,,Published
5116877-50209570987,Gigabyte H61 MOTHERBOARD DDR 4,Motherboard for Desktop,GIGABYTE,Gigabyte H61 MOTHERBOARD DDR 4,9500,,Published
5116877-28672412220,(DDR 4 (8 GB) RAM),Random Access Memory (RAM) Card (V2),NA,(DDR 4 (8 GB) RAM),2500,,Published
5116877-90920318496,LSI MEGARAID,Graphics Card,NA,9271-8i,32000,,Published
5116877-58910045704,Motherboard for desktop,Motherboard for Desktop,NA,H410 MH,9360,,Published
5116877-82623063715,Unbranded Random Access Memory (RAM) Card 8 GB,Random Access Memory (RAM) Card (V2),NA,RAM DDR4 8 GB 2666Mhz,3800,,Published
5116877-47931494106,Unbranded Switch Mode Power Supply (SMPS),Switch Mode Power Supply (SMPS) as per IS 14886:,NA,SMPS,900,,Published
5116877-88050746838,B2B COPIER 70 GSM A4,Plain Copier Paper (V3) ISI Marked to IS 14490,B2B COPIER,WESCO B2B 70 GSM A4,360,,Published
5116877-39680112694,JK COPIER A3-80GSM,Plain Copier Paper (V3) ISI Marked to IS 14490,jk copier,JK PAPER LTD,845,,Published
5116877-37789188490,JK Paper 2.18 kilogram Ream of 500 Sheet 70 gsm A4 size Plain Copier Paper,Plain Copier Paper (V3) ISI Marked to IS 14490,JK Paper,JK PAPER LTD,350,,Published
5116877-93035458428,AXELON 1.5 2 Copper Galvanized round steel wire Type C,Control Cable,AXELON,AX-CC1.5SQMM,91,,Published
5116877-87371115010,S TYPE CANE WIRE OFFICE CHAIR,Chairs - Handcrafted,NA,S TYPE CANE WIRE OFFICE CHAIR,18000,,Published
6894588-93861616265,office chair,Chairs - Handcrafted,NA,office chair,5477,,Draft Products
5116877-39092041508,DURACELL Cylindrical cells (Jacketed cylindrical cells dimensionally intechangeable with primary cells)  C (R14) 1.5 Ah Portable Sealed Rechargeable Single Cells - Nickel-Metal Hydride (Rechargeable Batteries),"Portable Sealed Rechargeable Single Cells - Nickel - Metal Hydride (Rechargeable Batteries) as per IS 16048, 16046",DURACELL,Y3 6135-000006,50,,Published
5116877-35171031226,VO32 BUTTON CELL,Button Cell or Coin Cell Battery,NA,V032,80,,Published
5116877-34803993381,GIP-RACK6Ft,Stainless Steel Shelf Rack,NA,GIP-RACK6Ft,12000,,Published
5116877-38082389374,ROJET BOX SINGLE JACK,Modular Accessory Telephone Jack-IS:: 3854,NA,Rojat box telephone,100,,Published
5116877-5687878582,Duracell Size (AA battary),Button Cell or Coin Cell Battery,DURACELL,Duracell (Size AA ),49,,Published
5116877-49047260532,Duracell (9V Battery),Button Cell or Coin Cell Battery,DURACELL,Duracell (9V Battery),300,,Published
